cluster,Water_January,Water_February,Water_March,Water_April,Water_May,Water_June,Water_July,Water_August,Water_September,Water_October,Water_Novemeber,Water_December
0,338.90771547844713,338.96310829148547,338.72199227488346,340.27643115102063,338.95188448360534,340.6326551517452,336.5498669464845,344.0081440823299,347.0863199115659,334.9538232816433,331.4255235948151,341.79783444712956
1,243.65742040555543,235.15941928820888,252.08428300175743,237.64575767708988,232.7387711545854,249.90623555802443,259.62775354666974,247.30123893220687,248.1739654148144,243.3458320505179,240.18462589305213,241.1477398980669
2,449.37983234180786,452.9965600553539,466.1435715500122,450.7999826811889,458.1551763208713,441.4018271899881,462.1140731321653,441.96436952502324,458.6913553432797,449.70200582105895,456.1118288172008,452.5990710834982
3,378.36329500879674,387.2248184253688,377.16793437671186,375.45784991892214,373.2780786848502,376.403860193825,376.8261491333924,383.469141639531,376.3304477651045,380.9720152635711,378.593779307566,375.4803091682505
