cluster,Elec_January,Elec_February,Elec_March,Elec_April,Elec_May,Elec_June,Elec_July,Elec_August,Elec_September,Elec_October,Elec_Novemeber,Elec_December
0,722.0698354802269,684.9773277041019,474.03733957202047,574.0040889499787,588.8678385281754,606.05206057324,640.5061304543057,512.6583341026459,621.9516500505241,538.8727848845696,557.7314435003924,659.3468992077603
1,492.33268441192627,459.0170418561258,260.97660346912005,355.20884063553444,370.86617481387,384.6844721335282,416.4798575195921,298.5942416950867,399.8283111662895,321.23387620209235,339.0798362838697,435.67611052897837
2,986.2514702353221,951.5438106450175,753.2029544496228,850.9106484471586,866.9306327247405,879.4825006756662,910.4374395009304,789.3980502317979,896.0596076800593,813.5932172162636,833.4234123181051,931.3233943292095
3,819.3687130553212,781.9923517443406,583.1184803936541,677.7751792318219,693.5637535956486,708.6781650326217,741.5831052072449,620.9850851613932,723.4432629405574,644.2868408138515,661.739275416133,758.2983728776214
